threshold,regularization,train_acc,val_acc,test_acc
-0.8,no_reg,0.528625,0.525,
-0.8,L1,0.4995,0.502,
-0.8,L2,0.525375,0.523,
-0.5,no_reg,0.585875,0.5365,
-0.5,L1,0.4995,0.502,
-0.5,L2,0.582875,0.538,
-0.2,no_reg,0.665875,0.574,
-0.2,L1,0.4995,0.502,
-0.2,L2,0.66625,0.566,
-0.1,no_reg,0.6805,0.5825,
-0.1,L1,0.4995,0.502,
-0.1,L2,0.679875,0.5855,
0.0,no_reg,0.689375,0.5925,
0.0,L1,0.5005,0.498,
0.0,L2,0.6895,0.594,0.587
0.1,no_reg,0.690375,0.593,
0.1,L1,0.5005,0.498,
0.1,L2,0.687375,0.594,0.579
0.2,no_reg,0.6725,0.579,
0.2,L1,0.5005,0.498,
0.2,L2,0.673375,0.5805,
0.5,no_reg,0.59575,0.545,
0.5,L1,0.5005,0.498,
0.5,L2,0.593,0.549,
0.8,no_reg,0.535,0.514,
0.8,L1,0.5005,0.498,
0.8,L2,0.532875,0.513,
